"Bus","No","Time (abs)","State","ID (hex)","Length","Message","Data (hex)","ASCII"
"CAN","1","36907.722.085.0","   S ","602","2","","01 03",".."
"CAN","2","36907.722.836.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","3","36907.723.461.0","     ","682","7","","21 0F FF 00 00 00 00","!.ˇ...."
"CAN","4","36907.724.092.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","5","36907.724.728.0","     ","682","7","","41 0F FF 00 00 00 00","A.ˇ...."
"CAN","6","36950.177.584.0","   S ","602","4","","03 00 00 00","...."
"CAN","7","36950.190.061.0","     ","682","3","","03 00 00","..."
"CAN","8","36958.745.493.0","   S ","602","3","","06 00 00","..."
"CAN","9","36958.745.940.0","     ","682","2","","06 00",".."
"CAN","10","36962.697.455.0","   S ","602","4","","03 00 00 00","...."
"CAN","11","36962.698.090.0","     ","682","3","","03 00 00","..."
"CAN","12","36967.281.229.0","   S ","602","2","","01 03",".."
"CAN","13","36967.281.981.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","14","36967.282.611.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","15","36967.283.242.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","16","36967.283.878.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","17","36987.185.519.0","   S ","602","4","","03 01 00 00","...."
"CAN","18","36987.185.982.0","     ","682","2","","00 09",".."
"CAN","19","36991.513.488.0","   S ","602","3","","06 00 00","..."
"CAN","20","36991.513.935.0","     ","682","2","","06 00",".."
"CAN","21","36994.000.871.0","   S ","602","4","","03 01 00 00","...."
"CAN","22","36994.002.844.0","     ","682","3","","03 00 00","..."
"CAN","23","37014.064.601.0","   S ","602","2","","01 06",".."
"CAN","24","37014.065.352.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","25","37014.065.982.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","26","37014.066.613.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","27","37014.067.248.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","28","37022.648.437.0","   S ","602","3","","06 00 00","..."
"CAN","29","37022.649.222.0","     ","682","2","","06 00",".."
"CAN","30","37025.144.540.0","   S ","602","4","","03 02 80 00","..Ä."
"CAN","31","37025.145.197.0","     ","682","3","","03 00 00","..."
"CAN","32","37093.983.600.0","   S ","602","2","","01 07",".."
"CAN","33","37093.984.356.0","     ","682","7","","01 80 00 80 00 80 00",".Ä.Ä.Ä."
"CAN","34","37093.984.987.0","     ","682","7","","21 80 00 80 00 80 00","!Ä.Ä.Ä."
"CAN","35","37093.985.623.0","     ","682","7","","41 80 00 80 00 80 00","AÄ.Ä.Ä."
"CAN","36","37093.986.253.0","     ","682","7","","61 80 00 80 00 80 00","aÄ.Ä.Ä."
"CAN","37","37118.590.982.0","   S ","602","2","","01 03",".."
"CAN","38","37118.591.733.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","39","37118.592.364.0","     ","682","7","","21 00 00 00 00 00 00","!......"
"CAN","40","37118.592.994.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","41","37118.593.630.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","42","37177.889.527.0","   S ","602","4","","07 00 00 48","...H"
"CAN","43","37177.889.946.0","     ","682","1","","07","."
"CAN","44","37194.517.778.0","   S ","602","2","","01 00",".."
"CAN","45","37194.518.513.0","     ","682","7","","01 FE 88 00 00 00 00",".˛à...."
"CAN","46","37194.519.137.0","     ","682","7","","21 8F FB 00 00 00 00","!è˚...."
"CAN","47","37222.237.405.0","   S ","602","2","","01 05",".."
"CAN","48","37222.238.124.0","     ","682","7","","01 00 C2 00 BA 00 BB","..¬.∫.ª"
"CAN","49","37222.238.715.0","     ","682","7","","21 E6 AE 00 BB 00 B9","!ÊÆ.ª.π"
"CAN","50","37222.239.340.0","     ","682","7","","41 E6 AA 00 00 00 00","AÊ™...."
"CAN","51","37222.239.970.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","52","37845.360.447.0","   S ","602","4","","07 00 0F FF","...ˇ"
"CAN","53","37845.360.866.0","     ","682","1","","07","."
"CAN","54","37845.581.341.0","     ","682","3","","1E 0D 00","..."
"CAN","55","37846.081.345.0","     ","682","3","","1E 0F 01","..."
"CAN","56","37846.281.329.0","     ","682","3","","1E 0F 00","..."
"CAN","57","37846.481.329.0","     ","682","3","","1E 0F 00","..."
"CAN","58","37846.581.326.0","     ","682","3","","1E 0F 01","..."
"CAN","59","37846.781.315.0","     ","682","3","","1E 0F 00","..."
"CAN","60","37846.981.310.0","     ","682","3","","1E 0F 00","..."
"CAN","61","37847.481.297.0","     ","682","3","","1E 0F 00","..."
"CAN","62","37847.781.278.0","     ","682","3","","1E 0D 00","..."
"CAN","63","37847.881.292.0","     ","682","3","","1E 0F 01","..."
"CAN","64","37848.081.286.0","     ","682","3","","1E 0F 01","..."
"CAN","65","37848.781.268.0","     ","682","3","","1E 0F 01","..."
"CAN","66","37848.981.263.0","     ","682","3","","1E 0F 01","..."
"CAN","67","37849.181.263.0","     ","682","3","","1E 0F 01","..."
"CAN","68","37849.381.248.0","     ","682","3","","1E 0F 00","..."
"CAN","69","37850.081.228.0","     ","682","3","","1E 0F 00","..."
"CAN","70","37850.181.231.0","     ","682","3","","1E 0F 01","..."
"CAN","71","37850.581.221.0","     ","682","3","","1E 0F 01","..."
"CAN","72","37851.381.200.0","     ","682","3","","1E 0F 01","..."
"CAN","73","37851.581.189.0","     ","682","3","","1E 0F 00","..."
"CAN","74","37851.681.187.0","     ","682","3","","1E 0E 01","..."
"CAN","75","37851.781.191.0","     ","682","3","","1E 0F 00","..."
"CAN","76","37851.981.184.0","     ","682","3","","1E 0F 00","..."
"CAN","77","37852.081.181.0","     ","682","3","","1E 0F 01","..."
"CAN","78","37852.281.175.0","     ","682","3","","1E 0D 01","..."
"CAN","79","37852.381.173.0","     ","682","3","","1E 0F 00","..."
"CAN","80","37853.381.136.0","     ","682","3","","1E 0D 00","..."
"CAN","81","37853.481.144.0","     ","682","3","","1E 0F 00","..."
"CAN","82","37853.881.134.0","     ","682","3","","1E 0F 00","..."
"CAN","83","37854.381.115.0","     ","682","3","","1E 0E 01","..."
"CAN","84","37854.481.118.0","     ","682","3","","1E 0F 00","..."
"CAN","85","37854.681.113.0","     ","682","3","","1E 0F 00","..."
"CAN","86","37854.781.115.0","     ","682","3","","1E 0F 01","..."
"CAN","87","37854.981.105.0","     ","682","3","","1E 0F 00","..."
"CAN","88","37855.281.102.0","     ","682","3","","1E 0F 01","..."
"CAN","89","37855.681.092.0","     ","682","3","","1E 0F 01","..."
"CAN","90","37855.881.081.0","     ","682","3","","1E 0F 00","..."
"CAN","91","37856.481.071.0","     ","682","3","","1E 0F 01","..."
"CAN","92","37856.881.060.0","     ","682","3","","1E 0F 01","..."
"CAN","93","37857.181.047.0","     ","682","3","","1E 0F 00","..."
"CAN","94","37857.281.050.0","     ","682","3","","1E 0F 01","..."
"CAN","95","37857.781.031.0","     ","682","3","","1E 0F 00","..."
"CAN","96","37857.981.037.0","     ","682","3","","1E 0F 01","..."
"CAN","97","37858.781.005.0","     ","682","3","","1E 0F 00","..."
"CAN","98","37858.881.007.0","     ","682","3","","1E 0F 01","..."
"CAN","99","37859.180.994.0","     ","682","3","","1E 0F 00","..."
"CAN","100","37859.480.992.0","     ","682","3","","1E 0F 01","..."
"CAN","101","37859.680.981.0","     ","682","3","","1E 0D 01","..."
"CAN","102","37859.780.983.0","     ","682","3","","1E 0F 00","..."
"CAN","103","37859.880.981.0","     ","682","3","","1E 0F 01","..."
"CAN","104","37860.580.963.0","     ","682","3","","1E 0F 01","..."
"CAN","105","37861.080.950.0","     ","682","3","","1E 0F 00","..."
"CAN","106","37861.380.942.0","     ","682","3","","1E 0F 01","..."
"CAN","107","37862.480.913.0","     ","682","3","","1E 0F 01","..."
"CAN","108","37862.780.905.0","     ","682","3","","1E 0F 01","..."
"CAN","109","37863.180.894.0","     ","682","3","","1E 0F 01","..."
"CAN","110","37863.980.874.0","     ","682","3","","1E 0F 00","..."
"CAN","111","37864.080.876.0","     ","682","3","","1E 0F 01","..."
"CAN","112","37865.380.837.0","     ","682","3","","1E 0F 00","..."
"CAN","113","37865.680.830.0","     ","682","3","","1E 0F 00","..."
"CAN","114","37866.080.813.0","     ","682","3","","1E 0E 01","..."
"CAN","115","37866.180.816.0","     ","682","3","","1E 0F 00","..."
"CAN","116","37888.564.785.0","   S ","602","4","","07 00 00 48","...H"
"CAN","117","37888.565.205.0","     ","682","1","","07","."
"CAN","118","37893.515.437.0","   S ","602","2","","01 05",".."
"CAN","119","37893.516.171.0","     ","682","7","","01 00 BE 00 BC 00 BA","..æ.º.∫"
"CAN","120","37893.516.775.0","     ","682","7","","21 E6 AC 00 BA 00 B9","!Ê¨.∫.π"
"CAN","121","37893.517.393.0","     ","682","7","","41 E6 AC 00 31 00 13","AÊ¨.1.."
"CAN","122","37893.518.012.0","     ","682","7","","61 00 36 00 32 00 33","a.6.2.3"
"CAN","123","37918.692.244.0","   S ","602","4","","07 00 00 03","...."
"CAN","124","37918.692.664.0","     ","682","1","","07","."
"CAN","125","37918.879.069.0","     ","682","3","","1E 0F 01","..."
"CAN","126","37919.179.061.0","     ","682","3","","1E 0F 01","..."
"CAN","127","37919.679.049.0","     ","682","3","","1E 0F 01","..."
"CAN","128","37920.079.038.0","     ","682","3","","1E 0F 01","..."
"CAN","129","37920.479.028.0","     ","682","3","","1E 0F 01","..."
"CAN","130","37922.378.979.0","     ","682","3","","1E 0F 01","..."
"CAN","131","37922.878.966.0","     ","682","3","","1E 0F 01","..."
"CAN","132","37923.578.948.0","     ","682","3","","1E 0F 01","..."
"CAN","133","37924.178.932.0","     ","682","3","","1E 0F 01","..."
"CAN","134","37924.578.924.0","     ","682","3","","1E 0F 01","..."
"CAN","135","37925.078.908.0","     ","682","3","","1E 0F 01","..."
"CAN","136","37925.678.893.0","     ","682","3","","1E 0F 01","..."
"CAN","137","37926.078.882.0","     ","682","3","","1E 0F 01","..."
"CAN","138","37926.378.874.0","     ","682","3","","1E 0F 01","..."
"CAN","139","37926.678.871.0","     ","682","3","","1E 0F 01","..."
"CAN","140","37926.878.866.0","     ","682","3","","1E 0F 01","..."
"CAN","141","37927.578.848.0","     ","682","3","","1E 0F 01","..."
"CAN","142","37927.778.842.0","     ","682","3","","1E 0F 01","..."
"CAN","143","37928.878.814.0","     ","682","3","","1E 0F 01","..."
"CAN","144","37929.278.804.0","     ","682","3","","1E 0F 01","..."
"CAN","145","37929.478.798.0","     ","682","3","","1E 0F 01","..."
"CAN","146","37930.578.770.0","     ","682","3","","1E 0F 01","..."
"CAN","147","37930.978.760.0","     ","682","3","","1E 0F 01","..."
"CAN","148","37931.278.752.0","     ","682","3","","1E 0F 01","..."
"CAN","149","37931.678.742.0","     ","682","3","","1E 0F 01","..."
"CAN","150","37931.878.736.0","     ","682","3","","1E 0F 01","..."
"CAN","151","37932.378.723.0","     ","682","3","","1E 0F 01","..."
"CAN","152","37932.778.713.0","     ","682","3","","1E 0F 01","..."
"CAN","153","37932.978.707.0","     ","682","3","","1E 0F 01","..."
"CAN","154","37933.678.689.0","     ","682","3","","1E 0F 01","..."
"CAN","155","37953.330.528.0","   S ","602","4","","07 00 00 48","...H"
"CAN","156","37953.330.947.0","     ","682","1","","07","."
"CAN","157","38006.888.540.0","   S ","602","5","","04 00 0F FF 03","...ˇ."
"CAN","158","38006.895.010.0","     ","682","3","","04 00 00","..."
"CAN","159","38011.276.690.0","     ","682","3","","1E 0F 08","..."
"CAN","160","38022.953.379.0","   S ","602","2","","01 03",".."
"CAN","161","38022.954.129.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","162","38022.954.754.0","     ","682","7","","21 0F FF 00 00 00 00","!.ˇ...."
"CAN","163","38022.955.384.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","164","38022.956.020.0","     ","682","7","","41 00 00 00 00 00 00","A......"
"CAN","165","38035.961.299.0","   S ","602","2","","01 05",".."
"CAN","166","38035.962.023.0","     ","682","7","","01 00 CB 00 BB 00 BB","..À.ª.ª"
"CAN","167","38035.962.631.0","     ","682","7","","21 F6 BE 00 BB 00 BA","!ˆæ.ª.∫"
"CAN","168","38035.963.255.0","     ","682","7","","41 E6 AB 00 01 00 00","AÊ´...."
"CAN","169","38035.963.886.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","170","38047.505.086.0","   S ","602","2","","01 05",".."
"CAN","171","38047.505.810.0","     ","682","7","","01 00 D2 00 BD 00 BB","..“.Ω.ª"
"CAN","172","38047.506.413.0","     ","682","7","","21 F6 C0 00 BB 00 B9","!ˆ¿.ª.π"
"CAN","173","38047.507.038.0","     ","682","7","","41 E6 AB 00 00 00 00","AÊ´...."
"CAN","174","38047.507.668.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","175","38076.032.611.0","   S ","602","2","","01 05",".."
"CAN","176","38076.033.334.0","     ","682","7","","01 00 BA 00 BC 00 BB","..∫.º.ª"
"CAN","177","38076.033.943.0","     ","682","7","","21 F6 BE 00 BB 00 BA","!ˆæ.ª.∫"
"CAN","178","38076.034.567.0","     ","682","7","","41 E6 AB 00 00 00 00","AÊ´...."
"CAN","179","38076.035.197.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","180","38119.826.803.0","   S ","602","5","","04 00 0F FF 06","...ˇ."
"CAN","181","38119.833.645.0","     ","682","3","","04 00 00","..."
"CAN","182","38123.391.771.0","   S ","602","2","","01 03",".."
"CAN","183","38123.392.522.0","     ","682","7","","01 00 00 00 00 00 00","......."
"CAN","184","38123.393.147.0","     ","682","7","","21 0F FF 00 00 00 00","!.ˇ...."
"CAN","185","38123.393.777.0","     ","682","7","","61 00 00 00 00 00 00","a......"
"CAN","186","38123.394.413.0","     ","682","7","","41 0F FF 00 00 00 00","A.ˇ...."
"CAN","187","38124.073.804.0","     ","682","3","","1E 0F 48","..H"
"CAN","188","38128.391.695.0","   S ","602","2","","01 05",".."
"CAN","189","38128.392.413.0","     ","682","7","","01 00 C5 00 BB 00 BB","..≈.ª.ª"
"CAN","190","38128.393.010.0","     ","682","7","","21 F6 BD 00 BB 00 BA","!ˆΩ.ª.∫"
"CAN","191","38128.393.635.0","     ","682","7","","41 F6 BC 00 00 00 00","Aˆº...."
"CAN","192","38128.394.265.0","     ","682","7","","61 00 01 00 01 00 01","a......"
"CAN","193","38228.289.584.0","   S ","602","5","","04 00 00 00 06","....."
"CAN","194","38228.296.048.0","     ","682","3","","04 00 00","..."
"CAN","195","38232.838.153.0","   S ","602","2","","01 05",".."
"CAN","196","38232.838.871.0","     ","682","7","","01 00 BB 00 BA 00 BB","..ª.∫.ª"
"CAN","197","38232.839.479.0","     ","682","7","","21 F6 BF 00 BB 00 BA","!ˆø.ª.∫"
"CAN","198","38232.840.104.0","     ","682","7","","41 E6 D6 00 00 00 00","AÊ÷...."
"CAN","199","38232.840.734.0","     ","682","7","","61 00 01 00 01 00 01","a......"
